平安银行股份有限公司	平安银行
河南豫能控股股份有限公司	豫能控股
天津津滨发展股份有限公司	津滨发展
鞍钢股份有限公司	鞍钢股份
江西赣能股份有限公司	赣能股份
现代投资股份有限公司	现代投资
航天科技控股集团股份有限公司	航天科技
中国服装股份有限公司	中国服装
昆明云内动力股份有限公司	云内动力
厦门港务发展股份有限公司	厦门港务
物产中拓股份有限公司	物产中拓
湖南天一科技股份有限公司	天一科技
数源科技股份有限公司	数源科技
大亚科技股份有限公司	大亚科技
南宁糖业股份有限公司	南宁糖业
四川泸天化股份有限公司	泸天化
浙江钱江摩托股份有限公司	钱江摩托
山东山大华特科技股份有限公司	山大华特
华北高速公路股份有限公司	华北高速
湖南电广传媒股份有限公司	电广传媒
嘉凯城集团股份有限公司	嘉凯城
金陵药业股份有限公司	金陵药业
南方汇通股份有限公司	南方汇通
海信科龙电器股份有限公司	海信科龙
哈尔滨电气集团佳木斯电机股份有限公司	阿继电器
河北宣化工程机械股份有限公司	河北宣工
浙江众合机电股份有限公司	众合机电
湖北福星科技股份有限公司	福星股份
天津一汽夏利汽车股份有限公司	一汽夏利
中钢集团吉林炭素股份有限公司	中钢吉炭
兰州黄河企业股份有限公司	兰州黄河
中粮生物化学(安徽)股份有限公司	中粮生化
北京中关村科技发展(控股)股份有限公司	中关村
湖南华菱钢铁股份有限公司	华菱钢铁
河南神火煤电股份有限公司	神火股份
四川双马水泥股份有限公司	四川双马
江苏华西村股份有限公司	华西股份
冀中能源股份有限公司	冀中能源
紫光股份有限公司	紫光股份
武汉凯迪电力股份有限公司	凯迪电力
云南南天电子信息产业股份有限公司	南天信息
新乡化纤股份有限公司	新乡化纤
重庆建峰化工股份有限公司	建峰化工
中国重汽集团济南卡车股份有限公司	中国重汽
湖北广济药业股份有限公司	广济药业
广西河池化工股份有限公司	河池化工
欣龙控股(集团)股份有限公司	欣龙控股
中国石化中原油气高新股份有限公司	中原油气
中通客车控股股份有限公司	中通客车
石家庄东方热电股份有限公司	东方热电
北京首钢股份有限公司	首钢股份
云南锡业股份有限公司	锡业股份
江苏中南建设集团股份有限公司	中南建设
宁夏东方钽业股份有限公司	东方钽业
华东医药股份有限公司	华东医药
天津天保基建股份有限公司	天保基建
国电长源电力股份有限公司	长源电力
浙江上风实业股份有限公司	上风高科
太原煤气化股份有限公司	煤气化
安泰科技股份有限公司	安泰科技
北京中科三环高技术股份有限公司	中科三环
湖北蓝鼎控股股份有限公司	蓝鼎控股
新疆中基实业股份有限公司	新中基
佛山佛塑科技集团股份有限公司	佛塑科技
银泰资源股份有限公司	银泰资源
广东开平春晖股份有限公司	春晖股份
浪潮电子信息产业股份有限公司	浪潮信息
桂林旅游股份有限公司	桂林旅游
中弘控股股份有限公司	中弘股份
黄山金马股份有限公司	金马股份
银亿房地产股份有限公司	银亿股份
宁夏中银绒业股份有限公司	中银绒业
山西西山煤电股份有限公司	西山煤电
大庆华科股份有限公司	大庆华科
广州友谊集团股份有限公司	广州友谊
华工科技产业股份有限公司	华工科技
九芝堂股份有限公司	九芝堂
诚志股份有限公司	诚志股份
福建闽东电力股份有限公司	闽东电力
甘肃皇台酒业股份有限公司	皇台酒业
中国中期投资股份有限公司	中国中期
福建新大陆电脑股份有限公司	新大陆
袁隆平农业高科技股份有限公司	隆平高科
华润三九医药股份有限公司	华润三九
浙江新和成股份有限公司	Ｇ新和成
深圳赤湾石油基地股份有限公司	深基地Ｂ
重庆建设摩托车股份有限公司	建摩Ｂ
山东航空股份有限公司	山航Ｂ
承德南江股份有限公司	南江股份
广东雷伊(集团)股份有限公司	雷伊Ｂ
南京普天通信股份有限公司	宁通信Ｂ
厦门灿坤实业股份有限公司	闽灿坤Ｂ
瓦房店轴承股份有限公司	瓦轴Ｂ
武汉锅炉股份有限公司	武锅Ｂ
杭州汽轮机股份有限公司	杭汽轮Ｂ
佛山华新包装股份有限公司	粤华包Ｂ
山东省中鲁远洋渔业股份有限公司	中鲁远洋
广东广州日报传媒股份有限公司	粤传媒
上海浦东发展银行股份有限公司	浦发银行
邯郸钢铁股份有限公司	邯郸钢铁
中国石化齐鲁股份有限公司	齐鲁石化
东北高速公路股份有限公司	东北高速
广州白云国际机场股份有限公司	白云机场
武汉钢铁股份有限公司	武钢股份
东风汽车股份有限公司	东风汽车
中国国际贸易中心股份有限公司	中国国贸
北京首创股份有限公司	首创股份
上海国际机场股份有限公司	上海机场
内蒙古包钢钢联股份有限公司	包钢股份
华能国际电力股份有限公司	华能国际
安徽皖通高速公路股份有限公司	皖通高速
华夏银行股份有限公司	华夏银行
中国民生银行股份有限公司	民生银行
上海港集装箱股份有限公司	上港集箱
宝山钢铁股份有限公司	宝钢股份
河南中原高速公路股份有限公司	中原高速
上海电力股份有限公司	上海电力
中海发展股份有限公司	中海发展
中国石油化工股份有限公司	中国石化
中国南方航空股份有限公司	南方航空
中信证券股份有限公司	中信证券
三一重工股份有限公司	三一重工
福建发展高速公路股份有限公司	福建高速
湖北楚天高速公路股份有限公司	楚天高速
招商银行股份有限公司	招商银行
北京歌华有线电视网络股份有限公司	歌华有线
哈飞航空工业股份有限公司	哈飞股份
四川路桥建设股份有限公司	四川路桥
中国联合网络通信股份有限公司	中国联通
宁波联合集团股份有限公司	宁波联合
浙江广厦股份有限公司	浙江广厦
江西中江地产股份有限公司	中江地产
黄山旅游发展股份有限公司	黄山旅游
黄山旅游发展股份有限公司	黄山旅游
华润万东医疗装备股份有限公司	华润万东
中国医药保健品股份有限公司	中国医药
厦门象屿股份有限公司	象屿股份
五矿发展股份有限公司	五矿发展
浙江古越龙山绍兴酒股份有限公司	古越龙山
青岛海信电器股份有限公司	海信电器
中纺投资发展股份有限公司	中纺投资
华润双鹤药业股份有限公司	华润双鹤
安徽皖维高新材料股份有限公司	皖维高新
南京高科股份有限公司	南京高科
郑州宇通客车股份有限公司	宇通客车
冠城大通股份有限公司	冠城大通
中国葛洲坝集团股份有限公司	葛洲坝
河南银鸽实业投资股份有限公司	银鸽投资
浙江富润股份有限公司	浙江富润
凤凰光学股份有限公司	凤凰光学
中船江南重工股份有限公司	江南重工
上海梅林正广和股份有限公司	上海梅林
江苏中达新材料集团股份有限公司	中达股份
新疆天业股份有限公司	新疆天业
潍坊北大青鸟华光科技股份有限公司	青鸟华光
宋都基业投资股份有限公司	宋都股份
江苏澄星磷化工股份有限公司	澄星股份
人福医药集团股份公司	人福医药
金花企业(集团)股份有限公司	金花股份
东风电子科技股份有限公司	东风科技
天津海泰科技发展股份有限公司	海泰发展
广东博信投资控股股份有限公司	广东博信
中信国安葡萄酒业股份有限公司	中葡股份
北京同仁堂股份有限公司	同仁堂
东方金钰股份有限公司	东方金钰
中国长江航运集团南京油运股份有限公司	南京水运
中视传媒股份有限公司	中视传媒
特变电工股份有限公司	特变电工
新疆啤酒花股份有限公司	啤酒花
包头明天科技股份有限公司	明天科技
四川禾嘉股份有限公司	禾嘉股份
上海大名城企业股份有限公司	大名城
上海大名城企业股份有限公司	大名城
哈尔滨高科技(集团)股份有限公司	哈高科
云南云天化股份有限公司	云天化
上海开创国际海洋资源股份有限公司	开创国际
广州发展集团股份有限公司	广州发展
林海股份有限公司	林海股份
同方股份有限公司	同方股份
四川明星电力股份有限公司	明星电力
莱芜钢铁股份有限公司	莱钢股份
福建省青山纸业股份有限公司	青山纸业
上海汽车集团股份有限公司	上汽集团
江苏永鼎股份有限公司	永鼎股份
重庆路桥股份有限公司	重庆路桥
湖北美尔雅股份有限公司	美尔雅
甘肃亚盛实业(集团)股份有限公司	亚盛集团
国金证券股份有限公司	国金证券
中科英华高技术股份有限公司	中科英华
内蒙古包钢稀土(集团)高科技股份有限公司	包钢稀土
贵州长征天成控股股份有限公司	天成控股
浙江东日股份有限公司	浙江东日
东睦新材料集团股份有限公司	东睦股份
中国东方航空股份有限公司	东方航空
重庆三峡水利电力(集团)股份有限公司	三峡水利
西宁特殊钢股份有限公司	西宁特钢
中国东方红卫星股份有限公司	中国卫星
长发集团长江投资实业股份有限公司	长江投资
浙江东方集团股份有限公司	浙江东方
郑州煤电股份有限公司	郑州煤电
江苏宏图高科技股份有限公司	宏图高科
山西兰花科技创业股份有限公司	兰花科创
中铁铁龙集装箱物流股份有限公司	铁龙物流
杭州钢铁股份有限公司	杭钢股份
湖南金健米业股份有限公司	金健米业
江苏弘业股份有限公司	弘业股份
重庆太极实业(集团)股份有限公司	太极集团
宁波波导股份有限公司	波导股份
四川岷江水利电力股份有限公司	岷江水电
重庆啤酒股份有限公司	重庆啤酒
武汉东湖高新集团股份有限公司	东湖高新
乐凯胶片股份有限公司	乐凯胶片
武汉道博股份有限公司	道博股份
四川浪莎控股股份有限公司	浪莎股份
中青旅控股股份有限公司	中青旅
四川西部资源控股股份有限公司	西部资源
湖北兴发化工集团股份有限公司	兴发集团
贵州国创能源控股(集团)股份有限公司	国创能源
宁夏大元化工股份有限公司	大元股份
长春一东离合器股份有限公司	长春一东
廊坊发展股份有限公司	廊坊发展
中国船舶工业股份有限公司	中国船舶
上海航天汽车机电股份有限公司	航天机电
宁波维科精华集团股份有限公司	维科精华
厦门建发股份有限公司	建发股份
河北宝硕股份有限公司	宝硕股份
湖南华升股份有限公司	华升股份
永泰能源股份有限公司	永泰能源
中体产业集团股份有限公司	中体产业
北京市大龙伟业房地产开发股份有限公司	大龙地产
浙江巨化股份有限公司	巨化股份
